applicability_mode,accuracy,policy,mean_nodes,ci_nodes_lo,ci_nodes_hi,mean_fatals,ci_fatals_lo,ci_fatals_hi,success_rate,mean_ver_actions,mean_ver_nodes,delta_nodes_vs_baseline,delta_nodes_ci_lo,delta_nodes_ci_hi,delta_fatals_vs_baseline
uninformative,0.4,advisory,2.915,2.725,3.1101,0.995,0.885,1.1101,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.4,v1_uncertainty,2.84,2.615,3.095,0.9,0.79,1.015,1.0,0.0,0.0,0.075,-0.175,0.315,-0.095
uninformative,0.4,v2_verification_action,3.13,2.8849,3.4201,0.85,0.7399,0.96,1.0,0.245,0.245,-0.215,-0.49,0.05,-0.145
uninformative,0.5,baseline,2.98,2.785,3.1803,1.055,0.935,1.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.5,advisory,2.98,2.785,3.1803,1.055,0.935,1.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.5,v1_uncertainty,2.415,2.18,2.6501,0.66,0.55,0.775,1.0,0.0,0.0,0.565,0.2999,0.8351,-0.395
uninformative,0.5,v2_verification_action,2.79,2.5099,3.0751,0.625,0.52,0.725,1.0,0.275,0.275,0.19,-0.12,0.485,-0.43
uninformative,0.6,baseline,2.795,2.6049,2.98,0.935,0.815,1.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.6,advisory,2.795,2.6049,2.98,0.935,0.815,1.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.6,v1_uncertainty,2.29,2.0749,2.525,0.61,0.5,0.72,1.0,0.0,0.0,0.505,0.2,0.7851,-0.325
uninformative,0.6,v2_verification_action,2.59,2.35,2.8301,0.595,0.49,0.7001,1.0,0.265,0.265,0.205,-0.1,0.5,-0.34
uninformative,0.7,baseline,2.97,2.755,3.1651,1.01,0.895,1.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.7,advisory,2.97,2.755,3.1651,1.01,0.895,1.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.7,v1_uncertainty,2.135,1.9199,2.37,0.615,0.5,0.735,1.0,0.0,0.0,0.835,0.5849,1.08,-0.395
uninformative,0.7,v2_verification_action,2.42,2.2049,2.6401,0.595,0.4799,0.715,1.0,0.28,0.28,0.55,0.305,0.78,-0.415
uninformative,0.8,baseline,2.88,2.67,3.09,0.99,0.875,1.105,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.8,advisory,2.88,2.67,3.09,0.99,0.875,1.105,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.8,v1_uncertainty,2.05,1.8449,2.28,0.51,0.4149,0.61,1.0,0.0,0.0,0.83,0.55,1.105,-0.48
uninformative,0.8,v2_verification_action,2.275,2.06,2.5351,0.47,0.375,0.575,1.0,0.225,0.225,0.605,0.28,0.885,-0.52
uninformative,0.9,baseline,2.825,2.6249,3.025,0.97,0.86,1.085,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.9,advisory,2.825,2.6249,3.025,0.97,0.86,1.085,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.9,v1_uncertainty,1.655,1.48,1.835,0.325,0.24,0.41,1.0,0.0,0.0,1.17,0.965,1.39,-0.645
uninformative,0.9,v2_verification_action,1.875,1.705,2.05,0.325,0.24,0.41,1.0,0.215,0.215,0.95,0.74,1.165,-0.645
uninformative,1.0,baseline,2.875,2.66,3.085,0.985,0.875,1.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,1.0,advisory,2.875,2.66,3.085,0.985,0.875,1.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,1.0,v1_uncertainty,1.44,1.31,1.59,0.225,0.15,0.31,1.0,0.0,0.0,1.435,1.22,1.6501,-0.76
uninformative,1.0,v2_verification_action,1.69,1.5549,1.84,0.225,0.15,0.31,1.0,0.25,0.25,1.185,0.9699,1.3951,-0.76
