market_index,question,slug,rule_category,ground_truth_category,rule_cluster_key,ground_truth_cluster_key,category_agreed,cluster_agreed,overall_agreed
48,"Bitcoin above 78,600 on September 13, 5PM ET?",bitcoin-above-78600-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
49,"Bitcoin above 78,800 on September 13, 5PM ET?",bitcoin-above-78800-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
50,"Bitcoin above 79,000 on September 13, 5PM ET?",bitcoin-above-79000-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
51,"Bitcoin above 79,200 on September 13, 5PM ET?",bitcoin-above-79200-on-september-13-2026-5pm-et,crypto_threshold,crypto_threshold,BTC_SEPTEMBER-13-2026-5PM-ET,BTC_SEPTEMBER-13-2026-5PM-ET,True,True,True
52,Chicago White Sox vs. St. Louis Cardinals: O/U 3.5,mlb-cws-stl-2026-09-13-total-3pt5,sports_pre_match,sports_pre_match,mlb-cws-stl-2026-09-13,mlb-cws-stl-2026-09-13,True,True,True
53,Los Angeles Dodgers vs. Miami Marlins: O/U 4.5,mlb-lad-mia-2026-09-13-total-4pt5,sports_pre_match,sports_pre_match,mlb-lad-mia-2026-09-13,mlb-lad-mia-2026-09-13,True,True,True
54,Pittsburgh Pirates vs. Chicago Cubs: O/U 3.5,mlb-pit-chc-2026-09-13-total-3pt5,sports_pre_match,sports_pre_match,mlb-pit-chc-2026-09-13,mlb-pit-chc-2026-09-13,True,True,True
55,New York Mets vs. New York Yankees: O/U 3.5,mlb-nym-nyy-2026-09-13-total-3pt5,sports_pre_match,sports_pre_match,mlb-nym-nyy-2026-09-13,mlb-nym-nyy-2026-09-13,True,True,True
56,Cleveland Guardians vs. Minnesota Twins: O/U 10.5,mlb-cle-min-2026-09-13-total-10pt5,sports_pre_match,sports_pre_match,mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13,True,True,True
57,Spread: Cleveland Guardians (-4.5),mlb-cle-min-2026-09-13-spread-away-4pt5,sports_pre_match,sports_pre_match,mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13,True,True,True
58,Spread: Cleveland Guardians (-3.5),mlb-cle-min-2026-09-13-spread-away-3pt5,sports_pre_match,sports_pre_match,mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13,True,True,True
59,Houston Astros vs. Tampa Bay Rays: O/U 15.5,mlb-hou-tb-2026-09-13-total-15pt5,sports_pre_match,sports_pre_match,mlb-hou-tb-2026-09-13,mlb-hou-tb-2026-09-13,True,True,True
60,New York Mets vs. New York Yankees: O/U 4.5,mlb-nym-nyy-2026-09-13-total-4pt5,sports_pre_match,sports_pre_match,mlb-nym-nyy-2026-09-13,mlb-nym-nyy-2026-09-13,True,True,True
61,Map 2 Total Rounds: Over/Under 27.5,cs2-inox-color-2026-09-13-game2-round-total-27pt5,sports_in_play,sports_in_play,cs2-inox-color-2026-09-13,cs2-inox-color-2026-09-13,True,True,True
62,Cincinnati Reds vs. Milwaukee Brewers: O/U 5.5,mlb-cin-mil-2026-09-13-total-5pt5,sports_pre_match,sports_pre_match,mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13,True,True,True
63,Pittsburgh Pirates vs. Chicago Cubs: O/U 4.5,mlb-pit-chc-2026-09-13-total-4pt5,sports_pre_match,sports_pre_match,mlb-pit-chc-2026-09-13,mlb-pit-chc-2026-09-13,True,True,True
64,Spread: Toronto Blue Jays (-3.5),mlb-bal-tor-2026-09-13-spread-home-3pt5,sports_pre_match,sports_pre_match,mlb-bal-tor-2026-09-13,mlb-bal-tor-2026-09-13,True,True,True
65,Chicago White Sox vs. St. Louis Cardinals: O/U 4.5,mlb-cws-stl-2026-09-13-total-4pt5,sports_pre_match,sports_pre_match,mlb-cws-stl-2026-09-13,mlb-cws-stl-2026-09-13,True,True,True
66,Philadelphia Phillies vs. Atlanta Braves: O/U 5.5,mlb-phi-atl-2026-09-13-total-5pt5,sports_pre_match,sports_pre_match,mlb-phi-atl-2026-09-13,mlb-phi-atl-2026-09-13,True,True,True
67,Houston Astros vs. Tampa Bay Rays: O/U 14.5,mlb-hou-tb-2026-09-13-total-14pt5,sports_pre_match,sports_pre_match,mlb-hou-tb-2026-09-13,mlb-hou-tb-2026-09-13,True,True,True
68,Game Handicap: Mitul Anatoli (-1.5) vs Casapciuc Stanislav (,setkamemd-anatoli-stanisl-2026-09-13-game-handicap,sports_pre_match,sports_in_play,setkamemd-anatoli-stanisl-2026-09-13,setkamemd-anatoli-stanisl-2026-09-13,False,True,False
69,Mitul Anatoli vs. Casapciuc Stanislav: Total Games O/U 4.5,setkamemd-anatoli-stanisl-2026-09-13-game-totals-4,sports_pre_match,sports_pre_match,setkamemd-anatoli-stanisl-2026-09-13,setkamemd-anatoli-stanisl-2026-09-13,True,True,True
70,Mitul Anatoli vs. Casapciuc Stanislav: Total Games O/U 3.5,setkamemd-anatoli-stanisl-2026-09-13-game-totals-3,sports_pre_match,sports_pre_match,setkamemd-anatoli-stanisl-2026-09-13,setkamemd-anatoli-stanisl-2026-09-13,True,True,True
71,Total Kills Over/Under 36.5 in Game 4?,lol-lll-png1-2026-09-13-game4-kill-over-36pt5,sports_in_play,sports_in_play,lol-lll-png1-2026-09-13,lol-lll-png1-2026-09-13,True,True,True
